YEAR; MONTH; DAY; HOUR; MIN; SEC; LONGITUDE; LATITUDE; DEPTH; EXP(Nm); M0; MAG; Mrr; Mtt; Mpp; Mrt; Mtp; Mpr; Str1; Dip1; Rake1; Str2; Dip2; Rake2
2016; 8; 5; 5;39;42.02; 128.5748;  26.1148; 38.0;15;3.350;4.3; 2.858;-0.725;-2.132; 0.396;-2.211; 0.372;  39.00;50.00;  94.00; 213.00;40.00;  86.00
2016; 8; 5; 9;40;56.40; 100.4300;  -6.0200; 28.8;16;2.839;4.9;-1.800; 0.427; 1.370;-0.805;-1.880;-1.110; 111.00;51.00;-140.00; 353.00;60.00; -47.00
2016; 8; 5;10;43;37.40;  60.8900; -29.1600; 17.7;16;2.209;4.8;-2.000; 1.960; 0.040; 0.510; 0.720; 0.445;  79.00;37.00; -78.00; 244.00;54.00; -99.00
2016; 8; 5;12;34;15.50;  82.4442; -23.9266;  4.0;17;2.100;5.5; 1.562;-1.900; 0.337;-1.102; 0.224;-0.226; 108.92;30.45; 111.13; 264.77;61.79;  78.03
2016; 8; 5;12;34;17.40;  82.6200; -23.8700; 12.0;17;2.102;5.5; 2.050;-2.110; 0.050;-0.261; 0.162; 0.003;  95.00;41.00;  91.00; 274.00;49.00;  89.00
2016; 8; 5;15; 4;38.20; 155.6200;  -6.8300; 70.3;16;4.813;5.1; 4.150;-3.470;-0.670;-0.515; 2.810; 0.932; 112.00;40.00;  76.00; 310.00;51.00; 102.00
2016; 8; 6; 1;11; 8.80;  60.7700; -29.2700; 19.2;16;2.194;4.8;-1.790; 2.250;-0.460;-0.055; 0.098; 0.757; 110.00;50.00; -57.00; 245.00;50.00;-123.00
2016; 8; 6; 4;19;12.70; 132.4000;   5.0200; 16.2;17;1.089;5.3;-0.033; 0.105;-0.070; 0.212; 1.050;-0.175;   3.00;79.00;-171.00; 272.00;81.00; -12.00
2016; 8; 6; 9; 8;22.60; 125.2700;   6.1200; 94.3;17;1.106;5.3;-0.639; 1.220;-0.580; 0.021;-0.053; 0.376; 126.00;59.00; -37.00; 237.00;59.00;-143.00
2016; 8; 6;10;55;58.40; 129.4100;  -7.0100;201.4;17;2.043;5.5;-0.809;-0.043; 0.850; 0.941;-1.360; 0.925; 181.00;66.00; -37.00; 288.00;57.00;-150.00
2016; 8; 6;12;23;18.30;  60.9600; -29.1300; 13.1;16;3.046;4.9;-2.760; 2.920;-0.150; 0.307; 0.976; 0.503;  83.00;42.00; -76.00; 245.00;50.00;-102.00
2016; 8; 6;19;56;28.20; 169.4300; -22.9600; 12.8;17;0.751;5.2;-0.688; 0.694; 0.000; 0.252;-0.157; 0.000; 107.00;36.00; -83.00; 278.00;55.00; -95.00
2016; 8; 7; 1;41;47.20; 126.2500; -49.5800; 21.8;16;2.354;4.8;-2.600; 1.660; 0.930; 0.054;-0.504; 0.772; 130.00;50.00; -75.00; 287.00;42.00;-107.00
2016; 8; 7; 5;56;14.80; 153.8400;  -5.7900; 37.7;16;4.775;5.1; 4.760;-2.400;-2.360; 0.462; 2.230;-0.803; 138.00;50.00;  94.00; 312.00;40.00;  86.00
2016; 8; 7; 8;15; 8.50;  37.5900;  47.0600; 17.7;16;1.051;4.6;-0.128;-0.335; 0.460; 0.047;-0.918;-0.332; 101.00;73.00; 178.00; 192.00;88.00;  17.00
2016; 8; 7;14; 2;43.10; 104.3400;  -6.3200; 54.6;16;2.619;4.9; 2.080;-1.990;-0.080; 0.671; 1.280;-0.875; 130.00;58.00; 106.00; 281.00;36.00;  66.00
2016; 8; 8;10;11;23.51; 128.4228;  26.7960; 30.9;15;1.150;4.0; 1.041;-0.446;-0.596;-0.134;-0.693;-0.178;  43.00;39.00;  92.00; 221.00;51.00;  88.00
2016; 8; 8;18;11; 6.80; 145.6400;  18.3500;216.4;16;2.603;4.9; 2.650;-1.100;-1.560; 0.315;-1.040; 0.563;  37.00;52.00;  88.00; 221.00;38.00;  93.00
2016; 8; 9;10;41; 2.34; 126.4312;  24.3555; 88.6;15;1.110;4.0; 0.843;-0.744;-0.099; 0.221;-0.799; 0.205;  51.00;53.00;  83.00; 243.00;38.00;  99.00
2016; 8; 9;11;27;40.50; 123.8000;   0.0400;172.2;16;2.498;4.9; 0.778;-0.968; 0.190; 1.790; 1.370; 0.634;  84.00;78.00;  53.00; 340.00;39.00; 161.00
2016; 8; 9;13;43; 3.00;-179.6600; -31.7300;239.7;16;7.019;5.2;-3.070;-0.239; 3.310;-4.350; 0.686;-4.460;  39.00;78.00; -76.00; 170.00;18.00;-138.00
2016; 8; 9;13;48;59.37; 130.8043;  32.7285;  5.1;15;1.010;3.9;-0.049; 0.493;-0.445;-0.524; 0.440;-0.616;  29.00;89.00;-128.00; 298.00;38.00;  -2.00
2016; 8;10; 4; 6;58.00; 125.7400;   5.5900;137.1;17;1.240;5.3; 0.086; 0.287;-0.370; 0.988; 0.625;-0.240;  12.00;35.00; 176.00; 106.00;88.00;  55.00
2016; 8;10; 4; 6;59.50; 125.7127;   5.5905;122.0;16;9.350;5.2;-0.315; 0.090; 0.224; 9.329;-0.486;-0.198; 168.99; 3.07; -12.37; 271.35;89.34; -93.00
2016; 8;10; 7;25;55.34; 131.9205;  31.7560; 26.6;15;3.210;4.3; 3.104;-1.049;-2.055; 0.034;-1.234; 1.167;  24.00;55.00;  79.00; 223.00;37.00; 106.00
2016; 8;10; 8;17;44.30; 125.1400;   5.8000; 82.5;16;3.637;5.0; 1.350; 0.738;-2.090; 0.966; 3.110; 0.039;  10.00;68.00; 165.00; 106.00;76.00;  22.00
2016; 8;10;18;44;14.41; 142.1703;  42.4358;126.4;14;8.150;3.9; 5.370;-0.489;-4.881; 3.691; 5.151; 0.424; 118.00;61.00;  51.00; 357.00;48.00; 138.00
2016; 8;10;23;23;21.20;-175.0300; -20.9100;126.4;16;1.956;4.8; 0.205; 0.527;-0.730;-0.806; 0.197;-1.650; 207.00;86.00; 108.00; 308.00;19.00;  12.00
2016; 8;11; 1; 1; 5.80;  86.3100;  34.3700; 16.5;16;2.264;4.8;-1.140;-0.163; 1.300;-0.052; 1.400; 1.360;  66.00;40.00; -32.00; 182.00;70.00;-125.00
2016; 8;11; 3;35; 6.50;-178.9300; -29.4800; 16.6;16;2.205;4.8;-0.197; 0.151; 0.040; 0.116; 2.200;-0.069;   1.00;87.00;-178.00; 271.00;88.00;  -3.00
2016; 8;11;11;20; 2.30; 150.2800;  -5.7100;117.5;16;2.072;4.8;-0.535; 0.356; 0.170;-1.910;-0.650;-0.198;  89.00;83.00;-109.00; 340.00;20.00; -20.00
2016; 8;12; 0;46;29.10;  86.2300;  34.3600; 17.9;16;2.614;4.9;-1.330;-0.597; 1.930; 0.221; 1.450; 1.600;  57.00;34.00; -40.00; 182.00;69.00;-117.00
2016; 8;12; 1;26;34.80; 173.0737; -22.4978; 13.0;19;4.910;7.1;-1.154;-2.179; 3.333; 0.453;-3.875; 0.517; 197.08;83.50;  -9.76; 288.20;80.31;-173.41
2016; 8;12; 1;26;44.30; 173.0700; -22.5600; 21.8;19;7.039;7.2;-0.879;-3.760; 4.630;-0.181;-5.310; 2.060;  19.00;87.00;  15.00; 288.00;75.00; 176.00
2016; 8;12; 3;29;33.70;-176.9300; -25.2400;138.3;18;2.096;6.1;-0.509; 0.024; 0.480; 0.136;-0.412;-1.990; 121.00;13.00;-143.00; 355.00;83.00; -80.00
2016; 8;12;13; 0;37.80; 172.8500; -22.7800; 21.2;16;3.650;5.0; 3.270;-3.400; 0.120; 0.524; 0.930;-1.030; 118.00;53.00; 109.00; 269.00;41.00;  67.00
2016; 8;12;18; 1; 0.30;  78.4000;  40.7000; 21.3;16;3.937;5.0; 2.670;-3.280; 0.610; 2.200; 0.618; 1.080;  77.00;66.00;  67.00; 302.00;33.00; 131.00
2016; 8;12;18;20;11.80; 119.8951;  -9.7152; 48.0;17;1.530;5.4;-0.958; 0.669; 0.289; 1.036; 0.704;-0.211;  27.07;34.72;-139.60; 262.09;68.33; -62.18
2016; 8;12;18;20;14.20; 119.8000;  -9.6100; 76.1;17;1.378;5.4;-0.489; 0.193; 0.290; 0.843; 0.986;-0.186;   6.00;49.00;-159.00; 262.00;74.00; -43.00
2016; 8;12;18;38;41.70; 127.2700;  -3.3200; 52.7;16;4.167;5.0; 3.460;-3.700; 0.240; 2.130;-0.081;-0.043;  90.00;60.00;  91.00; 267.00;30.00;  88.00
2016; 8;12;20;47;31.70;  -1.7539;  84.0290;  4.0;16;4.070;5.0;-2.502;-0.065; 2.567; 1.103; 2.765;-1.130;   0.65;59.15;-136.32; 244.56;53.63; -39.55
2016; 8;12;20;47;33.40;   0.0200;  84.2500; 12.0;16;5.647;5.1;-5.650; 2.370; 3.280;-0.392; 2.540;-1.090;  36.00;51.00; -95.00; 224.00;40.00; -84.00
2016; 8;12;21;33; 2.30; 173.3000; -22.6700; 20.7;17;0.824;5.2; 0.244;-0.675; 0.430; 0.068;-0.453; 0.354;  30.00;76.00;  30.00; 292.00;61.00; 164.00
2016; 8;12;23;13;58.75; 129.5135;  29.6523;171.3;15;1.130;4.0; 0.911; 0.172;-1.082; 0.108;-0.018; 0.521;   7.00;59.00;  97.00; 174.00;32.00;  79.00
2016; 8;12;23;35;26.00;  66.0500; -13.6000; 15.0;16;1.938;4.8;-0.375;-1.290; 1.670;-1.140; 0.401; 0.336;  47.00;62.00; -21.00; 147.00;71.00;-150.00
2016; 8;13; 3;56;47.29; 141.3393;  37.1888; 83.1;15;1.570;4.1;-1.052; 0.735; 0.318;-0.356; 1.082; 0.541;  80.00;53.00; -45.00; 201.00;56.00;-134.00
2016; 8;13; 6;37;57.30; 172.9800; -22.2700; 15.8;16;3.386;5.0;-0.457; 1.990;-1.530;-0.597; 2.770; 0.495; 105.00;83.00; -13.00; 197.00;77.00;-173.00
2016; 8;13; 7; 3;30.40; 172.9300; -22.7500; 23.6;16;2.688;4.9; 2.690;-2.550;-0.140; 0.448;-0.282; 0.282;  79.00;50.00;  84.00; 268.00;40.00;  97.00
2016; 8;13; 8;29;49.90; 101.7000;  37.7200; 22.9;16;2.279;4.8; 2.170;-1.080;-1.090;-0.098; 1.170; 0.532; 127.00;40.00;  78.00; 323.00;51.00; 100.00
2016; 8;13; 8;49;41.99; 141.9707;  38.8903; 49.5;14;8.370;3.9; 3.416;-0.077;-3.339; 2.585;-1.282; 7.098;  20.00;77.00;  90.00; 198.00;13.00;  88.00
2016; 8;13;13;21; 1.80; 172.9300; -22.8100; 25.0;16;3.137;4.9; 0.708;-1.560; 0.850; 1.740; 1.240;-1.960; 143.00;81.00; 118.00; 250.00;29.00;  18.00
2016; 8;13;14; 5; 4.20; 124.4000;  11.6200; 12.0;16;5.704;5.1; 5.150; 0.875;-6.030;-0.120; 1.070;-0.591; 174.00;48.00;  94.00; 348.00;42.00;  86.00
2016; 8;13;20;15; 7.45; 140.3960;  34.5260; 57.5;16;3.010;4.9; 1.323;-0.092;-1.232; 0.187; 0.039; 2.724;   3.00;77.00;  92.00; 174.00;13.00;  81.00
2016; 8;13;20;15;10.20; 140.5500;  34.4900; 56.7;16;4.563;5.0; 4.090; 0.112;-4.210; 0.466; 0.167; 1.830;   5.00;57.00;  98.00; 171.00;34.00;  78.00
2016; 8;13;20;41;30.70; 172.9300; -22.7500; 23.6;16;2.035;4.8; 1.500;-2.020; 0.510; 0.612;-0.110;-0.693; 111.00;59.00; 120.00; 242.00;42.00;  50.00
2016; 8;13;21;49;35.56; 138.1008;  32.6620;346.7;15;8.300;4.5;-0.218;-0.142; 0.360;-2.897;-2.774;-7.394; 102.00;17.00; 175.00; 197.00;89.00;  73.00
2016; 8;13;22;59;14.40; 172.9200; -22.7000; 17.9;17;1.555;5.4; 1.190;-1.510; 0.320; 0.685;-0.063;-0.298; 103.00;60.00; 107.00; 251.00;34.00;  63.00
2016; 8;14; 2;46;29.21; 128.2818;  27.1515; 15.5;15;2.680;4.2;-2.557; 1.519; 1.039;-0.144;-1.134; 0.986; 142.00;55.00; -75.00; 297.00;38.00;-110.00
2016; 8;14; 4; 9;50.00;-176.0100; -27.3100; 13.6;17;1.112;5.3; 0.769; 0.039;-0.800; 0.195;-0.120; 0.751;  13.00;67.00;  94.00; 183.00;23.00;  81.00
2016; 8;14; 7;38; 3.87; 128.2800;  27.1468; 13.0;14;9.690;3.9;-8.587; 5.743; 2.844; 0.587;-5.940; 1.550; 140.00;48.00; -73.00; 296.00;45.00;-108.00
2016; 8;14;11;15;14.10; 142.3075;  50.4267;  5.0;17;4.660;5.7; 3.942;-0.824;-3.118; 1.690; 1.663;-1.772; 144.05;60.86;  81.85; 340.44;30.16; 104.27
2016; 8;14;11;15;17.00; 142.3000;  50.4500; 12.5;17;5.581;5.8; 4.280;-0.501;-3.780; 0.634; 2.010;-3.220; 163.00;63.00;  99.00; 325.00;28.00;  73.00
2016; 8;14;15; 5;22.90;  72.5500;  39.0500; 17.8;16;2.251;4.8;-1.610;-0.430; 2.040; 0.959; 0.205;-0.800; 210.00;41.00; -46.00; 338.00;62.00;-121.00
2016; 8;14;16;28;55.50; 179.5436;  51.5328; 59.0;17;2.940;5.6;-1.657;-0.408; 2.066; 1.742;-1.427;-0.065; 187.40;46.57; -34.47; 302.67;65.73;-131.05
