YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 8;26;20;49;17.00; 122.5962;   1.2570; 10.0;mb   ;4.6;MINAHASSA PENINSULA, SULAWESI
2017; 8;26;19;40;23.00;-177.9147; -18.9017;513.8;mb   ;4.3;FIJI ISLANDS REGION
2017; 8;26;15;30;41.00;  95.8456;   2.4956; 10.0;mb   ;4.6;OFF W COAST OF NORTHERN SUMATRA
2017; 8;26;14; 8;45.00; -71.3477; -18.4789; 10.0;mb   ;4.2;OFF COAST OF NORTHERN CHILE
2017; 8;26; 8;33;57.00;-177.8828; -19.8407;582.1;mb   ;4.6;FIJI ISLANDS REGION
2017; 8;26; 8;12;51.00; -82.6514;   6.1628; 10.0;Mww  ;5.2;SOUTH OF PANAMA
2017; 8;26; 0;39; 7.00;-179.1768; -32.9831; 52.5;mb   ;4.9;SOUTH OF KERMADEC ISLANDS
2017; 8;25;23;41;22.00;  24.9676;  34.2226; 25.1;mb   ;4.1;CRETE, GREECE
2017; 8;25;23;20;48.00; 123.4363;  24.9895;  8.9;mb   ;4.8;SOUTHWESTERN RYUKYU ISL., JAPAN
2017; 8;25;22;45;49.00;  96.0621;  38.8358; 10.0;mb   ;4.1;QINGHAI, CHINA
2017; 8;25;21;13;24.00;-172.2431; -17.5031; 10.0;mb   ;4.7;TONGA ISLANDS REGION
2017; 8;25;19;20;28.00; 140.5295;  37.0456;  6.8;mb   ;4.8;EASTERN HONSHU, JAPAN
2017; 8;25;19;13; 4.00; 168.0123; -14.6151; 10.0;mb   ;5.0;VANUATU ISLANDS
2017; 8;25;18; 4;50.00;  25.0027;  34.2454; 32.1;mb   ;4.1;CRETE, GREECE
2017; 8;25;14;34; 8.00; 120.1886;  13.4571;119.1;mb   ;4.3;MINDORO, PHILIPPINES
2017; 8;25;13;24;53.00; 127.0175;   3.4204; 58.7;mb   ;4.5;TALAUD ISLANDS, INDONESIA
2017; 8;25;12;28;19.00;-178.5676;  50.7413; 10.0;mb   ;4.6;ANDREANOF ISLANDS, ALEUTIAN IS.
2017; 8;25; 7;27;11.00;  71.3398;  36.3993;109.2;Mww  ;4.9;AFGHANISTAN-TAJIKISTAN BORD REG.
2017; 8;25; 5;40; 3.00; 155.1599;  -6.2902;187.5;mb   ;4.6;SOLOMON ISLANDS
2017; 8;25; 5;20;30.00;  42.0490;  12.3332; 10.0;mb   ;4.5;ETHIOPIA
